Player ID,Full Name,Bingo Card
13091,Yaya Toure,555
354362,Rodrigo Bentancur,555
480692,Luis Diaz,555
357153,Diogo Costa,555
3291,Gareth Barry,555
576024,Julian Alvarez,555
3140,Ronaldo,556
395516,Moussa Diaby,556
146854,Wissam Ben Yedder,556
57071,Peter Gulacsi,556
274839,Wilfred Ndidi,556
3854,Juan Roman Riquelme,556
462250,Joao Felix,556
121483,Jan Oblak,556
442891,Martin Terrier,556
3332,Wayne Rooney,556
351816,Ismael Bennacer,556
5821,Filippo Inzaghi,556
4380,Robin van Persie,556
35537,Felipe Melo,556
27577,Clint Dempsey,556
25557,Sergio Ramos,556
4289,Alessandro Del Piero,556
28021,Samir Handanovic,556
37579,Alexandre Pato,556
431755,Dejan Kulusevski,556
353366,Benjamin Pavard,556
3455,Zlatan Ibrahimovic,556
12249,Ever Banega,556
565822,Harvey Elliott,556
302215,Naby Keita,556
214,Hasan Salihamidzic,556
30739,John Obi Mikel,556
6031,Antonio Di Natale,556
82105,Joel Matip,556
126719,Juan Bernat,556
29241,Thiago Silva,556
132098,Harry Kane,556
4317,Maxwell,556
399776,Pau Torres,556
108880,Koen Casteels,556
131789,Roberto Firmino,556
139208,Virgil van Dijk,556
3700,Frederic Kanoute,556
7520,Esteban Cambiasso,556
166601,Niklas Sule,556
167850,Memphis Depay,556
342229,Kylian Mbappe,556
28003,Lionel Messi,557
351749,Kalvin Phillips,557
44058,Wojciech Szczesny,557
3854,Juan Roman Riquelme,557
96341,Romelu Lukaku,557
533738,Jonathan David,557
687626,Moises Caicedo,557
225083,N'Golo Kante,557
3144,Robbie Keane,557
3518,Frank de Boer,557
513245,Jesper Lindstrom,557
3216,Milan Baros,557
532,Claudio Pizarro,557
3291,Gareth Barry,557
478573,Ryan Gravenberch,557
198008,Andre Silva,557
159088,Robert Andrich,557
3156,William Gallas,557
361914,Nayef Aguerd,557
3182,Ashley Cole,557
3994,Roy Makaay,557
424204,Alphonso Davies,557
58088,Fernando Muslera,557
294808,Franck Kessie,557
5958,Francesco Totti,557
217111,Hakim Ziyech,557
39153,Gonzalo Higuain,557
39152,Radamel Falcao,557
3207,Thierry Henry,557
170986,Raphael Guerreiro,557
543382,Mohamed Camara,557
3397,Paul Scholes,557
145988,Wilfried Zaha,557
94005,Sead Kolasinac,557
7589,Victor Valdes,557
255901,Rodrigo De Paul,557
3220,John Arne Riise,557
3415,Marcelo Salas,557
37579,Alexandre Pato,557
709187,Nico Williams,557
34557,Nicklas Bendtner,557
3226,Nicolas Anelka,557
9594,Vincent Kompany,558
349066,Alexander Isak,558
27992,Luka Modric,558
371998,Vinicius Junior,558
35664,Mesut Ozil,558
266807,Angel Correa,558
576024,Julian Alvarez,558
3188,Sylvain Wiltord,558
225693,Fabinho,558
94529,Stephan El Shaarawy,558
41384,Marko Arnautovic,558
6710,Per Mertesacker,558
37579,Alexandre Pato,558
182906,Mike Maignan,558
7825,Pepe Reina,558
401923,Victor Osimhen,558
534033,Alexis Mac Allister,558
277179,Angelino,558
182712,Joao Cancelo,558
133964,Lorenzo Insigne,558
321528,Denzel Dumfries,558
59016,David Alaba,558
32467,Ivan Rakitic,558
203853,Oleksandr Zinchenko,558
234509,Andre Onana,558
121483,Jan Oblak,558
5668,Anthony Reveillere,558
3407,Ruud van Nistelrooy,558
537860,Mykhaylo Mudryk,558
3182,Ashley Cole,558
387626,Leon Bailey,558
39381,Gareth Bale,558
3455,Zlatan Ibrahimovic,558
344695,Dayot Upamecano,558
598577,Florian Wirtz,558
7531,Fernando Morientes,558
3207,Thierry Henry,558
581678,Jude Bellingham,558
41982,Radja Nainggolan,558
504215,Giovanni Reyna,558
38253,Robert Lewandowski,558
424042,Nahuel Molina,558
451276,Dominik Szoboszlai,559
250845,Jose Maria Gimenez,559
4317,Maxwell,559
274839,Wilfred Ndidi,559
15799,Santi Cazorla,559
38593,Marek Hamsik,559
659813,Piero Hincapie,559
354362,Rodrigo Bentancur,559
392765,Emile Smith Rowe,559
187587,Ante Rebic,559
8198,Cristiano Ronaldo,559
388198,Nico Schlotterbeck,559
598577,Florian Wirtz,559
503733,Anthony Gordon,559
357119,Ibrahima Konate,559
2219,Philipp Lahm,559
401922,Samuel Chukwueze,559
3207,Thierry Henry,559
